date,New Cases PT,Deaths PT,Total Cases PT,Total Deaths PT,(Total Deaths PT / Pop Total)*100,(Total Deaths PT / Total Cases(daily))*100 ,,Pop Total
11/03/2020,20,0,20,0,0,0,,10196709
12/03/2020,17,0,37,0,0,0,,
13/03/2020,34,0,71,0,0,0,,
14/03/2020,57,0,128,0,0,0,,
15/03/2020,76,0,204,0,0,0,,
16/03/2020,86,1,290,1,9.81E-06,3.38176E-06,,
17/03/2020,117,0,407,1,9.81E-06,2.4096E-06,,
18/03/2020,194,1,601,2,1.96E-05,3.26359E-06,,
19/03/2020,144,2,745,4,3.92E-05,5.26554E-06,,
20/03/2020,234,2,979,6,5.88E-05,6.01047E-06,,
21/03/2020,260,6,1239,12,0.000117685,9.49839E-06,,
22/03/2020,320,2,1559,14,0.000137299,8.80686E-06,,
23/03/2020,460,9,2019,23,0.000225563,1.1172E-05,,
24/03/2020,302,10,2321,33,0.000323634,1.39437E-05,,
25/03/2020,633,10,2954,43,0.000421705,1.42757E-05,,
26/03/2020,549,17,3503,60,0.000588425,1.67977E-05,,
27/03/2020,724,16,4227,76,0.000745339,1.76328E-05,,
28/03/2020,902,24,5129,100,0.000980709,1.91209E-05,,
29/03/2020,792,19,5921,119,0.001167043,1.97102E-05,,
30/03/2020,446,21,6367,140,0.001372992,2.15642E-05,,
31/03/2020,1035,20,7402,160,0.001569134,2.11988E-05,,
01/04/2020,808,27,8210,187,0.001833925,2.23377E-05,,
02/04/2020,783,22,8993,209,0.002049681,2.2792E-05,,
03/04/2020,852,37,9845,246,0.002412543,2.45053E-05,,
04/04/2020,638,20,10483,266,0.002608685,2.48849E-05,,
05/04/2020,754,29,11237,295,0.00289309,2.57461E-05,,
06/04/2020,452,16,11689,311,0.003050004,2.60929E-05,,
07/04/2020,712,34,12401,345,0.003383445,2.72836E-05,,
08/04/2020,699,35,13100,380,0.003726693,2.8448E-05,,
09/04/2020,815,29,13915,409,0.004011098,2.88257E-05,,
10/04/2020,1516,26,15431,435,0.004266082,2.76462E-05,,
11/04/2020,515,35,15946,470,0.00460933,2.89059E-05,,
12/04/2020,598,34,16544,504,0.004942771,2.98765E-05,,
13/04/2020,349,31,16893,535,0.005246791,3.1059E-05,,
14/04/2020,514,32,17407,567,0.005560618,3.19447E-05,,
15/04/2020,643,32,18050,599,0.005874444,3.25454E-05,,
16/04/2020,750,30,18800,629,0.006168657,3.2812E-05,,
17/04/2020,181,28,18981,657,0.006443255,3.39458E-05,,
18/04/2020,663,30,19644,687,0.006737468,3.42978E-05,,
19/04/2020,521,27,20165,714,0.007002259,3.47248E-05,,
20/04/2020,657,21,20822,735,0.007208208,3.46182E-05,,
21/04/2020,516,27,21338,762,0.007472999,3.5022E-05,,
22/04/2020,603,23,21941,785,0.007698562,3.50876E-05,,
23/04/2020,371,35,22312,820,0.00804181,3.60425E-05,,
24/04/2020,444,34,22756,854,0.008375251,3.68046E-05,,
25/04/2020,595,26,23351,880,0.008630236,3.69587E-05,,
26/04/2020,472,23,23823,903,0.008855798,3.71733E-05,,
27/04/2020,163,25,23986,928,0.009100976,3.79429E-05,,
28/04/2020,295,20,24281,948,0.009297117,3.82897E-05,,
29/04/2020,183,25,24464,973,0.009542294,3.90055E-05,,
30/04/2020,540,16,25004,989,0.009699208,3.87906E-05,,
01/05/2020,306,18,25310,1007,0.009875735,3.90191E-05,,
02/05/2020,203,16,25513,1023,0.010032649,3.93237E-05,,
03/05/2020,92,20,25605,1043,0.01022879,3.99484E-05,,
04/05/2020,242,20,25847,1063,0.010424932,4.03332E-05,,
05/05/2020,178,11,26025,1074,0.01053281,4.04719E-05,,
06/05/2020,480,15,26505,1089,0.010679916,4.0294E-05,,
07/05/2020,533,16,27038,1105,0.01083683,4.008E-05,,
08/05/2020,553,9,27591,1114,0.010925094,3.95966E-05,,
09/05/2020,138,12,27729,1126,0.011042779,3.98239E-05,,
10/05/2020,175,9,27904,1135,0.011131042,3.98905E-05,,
11/05/2020,98,9,28002,1144,0.011219306,4.00661E-05,,
12/05/2020,234,19,28236,1163,0.011405641,4.0394E-05,,
13/05/2020,219,12,28455,1175,0.011523326,4.04967E-05,,
14/05/2020,187,9,28642,1184,0.01161159,4.05404E-05,,
15/05/2020,264,6,28906,1190,0.011670432,4.03737E-05,,
16/05/2020,227,13,29133,1203,0.011797924,4.04968E-05,,
17/05/2020,226,15,29359,1218,0.01194503,4.06861E-05,,
18/05/2020,173,13,29532,1231,0.012072523,4.08795E-05,,
19/05/2020,223,16,29755,1247,0.012229436,4.11004E-05,,
20/05/2020,228,16,29983,1263,0.012386349,4.13112E-05,,
21/05/2020,252,14,30235,1277,0.012523649,4.1421E-05,,
22/05/2020,288,12,30523,1289,0.012641334,4.14158E-05,,
23/05/2020,271,13,30794,1302,0.012768826,4.14653E-05,,
24/05/2020,152,14,30946,1316,0.012906125,4.17053E-05,,
25/05/2020,165,14,31111,1330,0.013043424,4.19254E-05,,
26/05/2020,219,12,31330,1342,0.013161109,4.2008E-05,,
27/05/2020,285,14,31615,1356,0.013298408,4.20636E-05,,
28/05/2020,304,13,31919,1369,0.0134259,4.20624E-05,,
29/05/2020,350,14,32269,1383,0.0135632,4.20317E-05,,
30/05/2020,257,13,32526,1396,0.013690692,4.20915E-05,,
31/05/2020,297,14,32823,1410,0.013827991,4.2129E-05,,
01/06/2020,200,14,33023,1424,0.01396529,4.22896E-05,,
02/06/2020,195,12,33218,1436,0.014082975,4.23956E-05,,
03/06/2020,366,11,33584,1447,0.014190853,4.22548E-05,,
04/06/2020,331,8,33915,1455,0.01426931,4.20737E-05,,
05/06/2020,377,10,34292,1465,0.014367381,4.18972E-05,,
